Organization,Country,Lattitude,Longitude,Industry,Organization_size,Owner,Lead_acquisition_date,Product,Status,Status_sequence,Stage,Stage_sequence,Deal_Value_USD,Probability_pct,Expected_close_date,Actual_close_date,lead_year,lead_month,deal_duration_days,close_delay_days,is_won,is_lost,is_closed,is_open,is_saas,org_size_cat
Avamm,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Small (11-200),Jessica Martinez,2024-05-25,SAAS,New,1,,,474,40,2025-03-25,,2024,2024-05,304,,False,False,False,False,True,Small (11-200)
Edgetag,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Jessica Martinez,2024-03-04,Services,New,1,,,1850,20,2024-10-05,,2024,2024-03,215,,False,False,False,False,False,Small (11-200)
Photolist,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Kevin Anderson,2024-02-03,Custom solution,New,1,,,1007,90,2024-11-27,,2024,2024-02,298,,False,False,False,False,False,Small (11-200)
Tavu,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Kevin Anderson,2024-04-11,Services,New,1,,,1345,90,2024-05-22,,2024,2024-04,41,,False,False,False,False,False,Small (11-200)
Jetwire,Germany,52.520008,13.404954,Manufacturing & Production,Small (11-200),Jessica Martinez,2024-05-27,Services,New,1,,,1038,50,2024-12-14,,2024,2024-05,201,,False,False,False,False,False,Small (11-200)
Ntag,Portugal,38.736946,-9.142685,Education & Science,Small (11-200),David Wilson,2024-04-03,SAAS,New,1,,,458,20,2024-09-14,,2024,2024-04,164,,False,False,False,False,True,Small (11-200)
Twinte,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,2024-05-12,Services,New,1,,,442,30,2024-12-24,,2024,2024-05,226,,False,False,False,False,False,Small (11-200)
Livepath,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,2024-04-27,SAAS,New,1,,,1997,50,2025-04-11,,2024,2024-04,349,,False,False,False,False,True,Small (11-200)
Meetz,Austria,48.210033,16.363449,Education & Science,Small (11-200),David Wilson,2024-03-28,Custom solution,New,1,,,1717,20,2024-05-23,,2024,2024-03,56,,False,False,False,False,False,Small (11-200)
Gigaclub,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),David Wilson,2024-01-03,SAAS,New,1,,,1640,30,2024-11-30,,2024,2024-01,332,,False,False,False,False,True,Small (11-200)
Yadel,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Emily Johnson,2024-05-01,Services,New,1,,,855,70,2025-02-23,,2024,2024-05,298,,False,False,False,False,False,Small (11-200)
Eabox,France,48.864716,2.349014,Recreation & Sports,Small (11-200),Jessica Martinez,2024-03-12,Services,New,1,,,1056,100,2025-03-10,,2024,2024-03,363,,False,False,False,False,False,Small (11-200)
Dabjam,Netherlands,52.370216,4.895168,Manufacturing & Production,Small (11-200),John Smith,2024-02-27,Custom solution,New,1,,,966,10,2024-06-13,,2024,2024-02,107,,False,False,False,False,False,Small (11-200)
Blogpad,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Small (11-200),Jessica Martinez,2024-02-27,Custom solution,New,1,,,344,40,2024-10-11,,2024,2024-02,227,,False,False,False,False,False,Small (11-200)
Topiczoom,Belgium,51.260197,4.402771,Recreation & Sports,Small (11-200),Michael Brown,2024-05-29,Services,New,1,,,407,70,2025-04-13,,2024,2024-05,319,,False,False,False,False,False,Small (11-200)
Rhyloo,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Kevin Anderson,2024-01-21,Services,New,1,,,1965,40,2025-01-17,,2024,2024-01,362,,False,False,False,False,False,Small (11-200)
Mydo,Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Laura Thompson,2024-01-07,Custom solution,New,1,,,1494,20,2024-06-14,,2024,2024-01,159,,False,False,False,False,False,Small (11-200)
Thoughtstorm,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),David Wilson,2024-03-13,Custom solution,New,1,,,1837,10,2024-04-06,,2024,2024-03,24,,False,False,False,False,False,Small (11-200)
Topicware,Germany,52.520008,13.404954,Construction & Engineering,Small (11-200),John Smith,2024-03-31,Services,New,1,,,1175,20,2025-01-10,,2024,2024-03,285,,False,False,False,False,False,Small (11-200)
Tekfly,France,48.864716,2.349014,Telecommunications,Small (11-200),David Wilson,2024-03-09,Services,New,1,,,617,40,2024-06-10,,2024,2024-03,93,,False,False,False,False,False,Small (11-200)
Wikivu,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),David Wilson,2024-01-28,Services,New,1,,,1538,50,2024-10-14,,2024,2024-01,260,,False,False,False,False,False,Small (11-200)
"Schroeder, Reichert and Hettinger",Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Kevin Anderson,2024-01-06,SAAS,New,1,,,434,50,2024-10-21,,2024,2024-01,289,,False,False,False,False,True,Small (11-200)
"Gorczany, Kuphal and Mayert",Netherlands,52.370216,4.895168,Professional Services  & Consulting,Small (11-200),Laura Thompson,2024-02-27,Custom solution,New,1,,,870,60,2025-01-20,,2024,2024-02,328,,False,False,False,False,False,Small (11-200)
"Dietrich, Boehm and Corkery",Italy,41.902782,12.496366,Education & Science,Small (11-200),Kevin Anderson,2024-05-30,SAAS,New,1,,,1225,30,2024-09-26,,2024,2024-05,119,,False,False,False,False,True,Small (11-200)
"Murphy, Schuster and Kub",Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Laura Thompson,2024-01-04,SAAS,New,1,,,1804,50,2024-03-04,,2024,2024-01,60,,False,False,False,False,True,Small (11-200)
Pouros-Schneider,Portugal,38.736946,-9.142685,Construction & Engineering,Small (11-200),Jessica Martinez,2024-01-17,Custom solution,New,1,,,1063,60,2024-02-25,,2024,2024-01,39,,False,False,False,False,False,Small (11-200)
"Crist, Price and Johns",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),David Wilson,2024-03-03,SAAS,New,1,,,341,10,2025-02-18,,2024,2024-03,352,,False,False,False,False,True,Small (11-200)
Littel LLC,Switzerland,46.204391,6.143158,Agriculture & Mining,Small (11-200),John Smith,2024-03-14,Services,New,1,,,1454,20,2024-05-13,,2024,2024-03,60,,False,False,False,False,False,Small (11-200)
Wisozk-Thompson,France,48.864716,2.349014,Banking and Finance,Small (11-200),Laura Thompson,2024-04-06,SAAS,New,1,,,263,80,2024-09-26,,2024,2024-04,173,,False,False,False,False,True,Small (11-200)
D'Amore Group,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,2024-05-25,Custom solution,New,1,,,976,100,2024-11-07,,2024,2024-05,166,,False,False,False,False,False,Small (11-200)
Mitchell Group,Belgium,51.260197,4.402771,Government Administration Healthcare,Small (11-200),Sarah Davis,2024-01-08,SAAS,New,1,,,1977,60,2024-08-14,,2024,2024-01,219,,False,False,False,False,True,Small (11-200)
Lowe-Grimes,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Sarah Davis,2024-02-14,Services,New,1,,,1940,50,2024-10-06,,2024,2024-02,235,,False,False,False,False,False,Small (11-200)
"O'Reilly, Harvey and Cassin",France,48.864716,2.349014,Telecommunications,Small (11-200),Sarah Davis,2024-04-23,Custom solution,New,1,,,945,60,2024-07-10,,2024,2024-04,78,,False,False,False,False,False,Small (11-200)
"Hilll, Reynolds and Stamm",Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Jessica Martinez,2024-01-11,SAAS,New,1,,,741,10,2024-10-15,,2024,2024-01,278,,False,False,False,False,True,Small (11-200)
"Schinner, Turcotte and Borer",France,48.864716,2.349014,Banking and Finance,Small (11-200),Jessica Martinez,2024-03-21,Services,New,1,,,1130,30,2025-02-26,,2024,2024-03,342,,False,False,False,False,False,Small (11-200)
Bahringer Inc,Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Sarah Davis,2024-02-14,Services,New,1,,,1047,20,2025-01-28,,2024,2024-02,349,,False,False,False,False,False,Small (11-200)
Green-Kunze,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),John Smith,2024-02-04,SAAS,New,1,,,1473,50,2024-02-24,,2024,2024-02,20,,False,False,False,False,True,Small (11-200)
"Huels, Cruickshank and Hayes",Germany,52.520008,13.404954,Manufacturing & Production,Small (11-200),Jessica Martinez,2024-03-01,Services,New,1,,,1084,60,2025-02-25,,2024,2024-03,361,,False,False,False,False,False,Small (11-200)
Reynolds-Wiza,Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),John Smith,2024-04-10,Services,New,1,,,379,20,2024-05-29,,2024,2024-04,49,,False,False,False,False,False,Small (11-200)
McGlynn Group,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),Kevin Anderson,2024-04-28,Services,New,1,,,351,20,2024-11-24,,2024,2024-04,210,,False,False,False,False,False,Small (11-200)
Gorczany-Legros,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Emily Johnson,2024-05-12,SAAS,New,1,,,1978,50,2024-10-07,,2024,2024-05,148,,False,False,False,False,True,Small (11-200)
"Gulgowski, Kub and Miller",Spain,40.416775,-3.70379,Banking and Finance,Small (11-200),John Smith,2024-04-14,Services,New,1,,,754,40,2025-04-03,,2024,2024-04,354,,False,False,False,False,False,Small (11-200)
"Metz, Kub and Fahey",France,48.864716,2.349014,IT & IT Services,Small (11-200),Michael Brown,2024-05-02,Services,New,1,,,1487,40,2024-06-14,,2024,2024-05,43,,False,False,False,False,False,Small (11-200)
Abshire LLC,Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Sarah Davis,2024-05-08,Services,New,1,,,1932,60,2024-07-30,,2024,2024-05,83,,False,False,False,False,False,Small (11-200)
Lockman-Littel,Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Michael Brown,2024-05-03,Services,New,1,,,1315,60,2025-01-04,,2024,2024-05,246,,False,False,False,False,False,Small (11-200)
Bradtke Inc,France,48.864716,2.349014,Telecommunications,Small (11-200),Laura Thompson,2024-05-25,SAAS,New,1,,,1339,40,2025-03-28,,2024,2024-05,307,,False,False,False,False,True,Small (11-200)
Cartwright-Orn,France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,2024-04-05,SAAS,New,1,,,244,50,2024-06-30,,2024,2024-04,86,,False,False,False,False,True,Small (11-200)
Littel-Hilpert,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Michael Brown,2024-03-03,SAAS,New,1,,,229,40,2024-05-08,,2024,2024-03,66,,False,False,False,False,True,Small (11-200)
Franecki LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Laura Thompson,2024-01-05,SAAS,New,1,,,740,60,2024-06-04,,2024,2024-01,151,,False,False,False,False,True,Small (11-200)
Mayert-Renner,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,2024-05-05,SAAS,New,1,,,433,30,2025-02-09,,2024,2024-05,280,,False,False,False,False,True,Small (11-200)
Emmerich-Padberg,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,2024-02-22,Custom solution,New,1,,,1073,30,2024-12-25,,2024,2024-02,307,,False,False,False,False,False,Small (11-200)
Grimes-Marvin,France,48.864716,2.349014,Retail & Distribution,Small (11-200),Emily Johnson,2024-02-05,SAAS,New,1,,,242,30,2024-06-21,,2024,2024-02,137,,False,False,False,False,True,Small (11-200)
"Maggio, Wilderman and Mueller",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,2024-04-25,Custom solution,New,1,,,1884,20,2024-10-18,,2024,2024-04,176,,False,False,False,False,False,Small (11-200)
"Toy, Gottlieb and Veum",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Laura Thompson,2024-03-24,SAAS,New,1,,,223,90,2024-04-28,,2024,2024-03,35,,False,False,False,False,True,Small (11-200)
"Hoeger, Hyatt and Glover",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Laura Thompson,2024-04-28,SAAS,New,1,,,1772,10,2025-03-11,,2024,2024-04,317,,False,False,False,False,True,Small (11-200)
"Ferry, Denesik and Satterfield",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,2024-03-20,SAAS,New,1,,,820,30,2024-12-23,,2024,2024-03,278,,False,False,False,False,True,Small (11-200)
"Bruen, Quigley and Kling",Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Laura Thompson,2024-01-15,SAAS,New,1,,,1241,60,2024-12-24,,2024,2024-01,344,,False,False,False,False,True,Small (11-200)
Gibson and Sons,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Kevin Anderson,2024-04-29,Custom solution,New,1,,,519,20,2024-11-05,,2024,2024-04,190,,False,False,False,False,False,Small (11-200)
Little and Sons,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Kevin Anderson,2024-05-21,Services,New,1,,,706,40,2025-05-16,,2024,2024-05,360,,False,False,False,False,False,Small (11-200)
"O'Conner, Stracke and White",Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),John Smith,2024-04-28,Services,New,1,,,1461,40,2024-12-11,,2024,2024-04,227,,False,False,False,False,False,Small (11-200)
Smitham LLC,Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),Sarah Davis,2024-04-17,Services,New,1,,,1913,100,2024-07-10,,2024,2024-04,84,,False,False,False,False,False,Small (11-200)
"Dickinson, Jacobi and McKenzie",Italy,41.902782,12.496366,Telecommunications,Small (11-200),Laura Thompson,2024-05-13,SAAS,New,1,,,1539,20,2024-06-30,,2024,2024-05,48,,False,False,False,False,True,Small (11-200)
Feest-Schoen,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Laura Thompson,2024-04-10,SAAS,New,1,,,1212,30,2024-06-14,,2024,2024-04,65,,False,False,False,False,True,Small (11-200)
"Hane, Kassulke and Hermiston",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,2024-03-13,Services,New,1,,,1832,20,2024-07-18,,2024,2024-03,127,,False,False,False,False,False,Small (11-200)
"Lesch, Hauck and Bogan",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Jessica Martinez,2024-03-18,Custom solution,New,1,,,1553,20,2024-08-04,,2024,2024-03,139,,False,False,False,False,False,Small (11-200)
Johnson-McDermott,France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),John Smith,2024-04-20,Services,New,1,,,322,40,2025-01-04,,2024,2024-04,259,,False,False,False,False,False,Small (11-200)
"Dare, Lesch and Gorczany",France,48.864716,2.349014,Transportation & Logistics,Small (11-200),John Smith,2024-01-10,Custom solution,New,1,,,1185,90,2024-07-22,,2024,2024-01,194,,False,False,False,False,False,Small (11-200)
Reilly Inc,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Jessica Martinez,2024-05-20,Services,New,1,,,1747,20,2024-07-16,,2024,2024-05,57,,False,False,False,False,False,Small (11-200)
Hyatt Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,2024-03-22,SAAS,New,1,,,1286,20,2025-02-12,,2024,2024-03,327,,False,False,False,False,True,Small (11-200)
Waters Inc,Belgium,51.260197,4.402771,Manufacturing & Production,Small (11-200),Laura Thompson,2024-01-04,Services,New,1,,,1735,90,2024-02-09,,2024,2024-01,36,,False,False,False,False,False,Small (11-200)
Balistreri-Berge,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),David Wilson,2024-05-04,SAAS,New,1,,,1184,50,2025-01-30,,2024,2024-05,271,,False,False,False,False,True,Small (11-200)
"Champlin, Altenwerth and Reichel",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Laura Thompson,2024-02-18,SAAS,New,1,,,352,40,2024-10-24,,2024,2024-02,249,,False,False,False,False,True,Small (11-200)
Johnston-Bahringer,Italy,41.902782,12.496366,Telecommunications,Small (11-200),John Smith,2024-01-11,Custom solution,New,1,,,1581,50,2024-03-06,,2024,2024-01,55,,False,False,False,False,False,Small (11-200)
Rath and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),David Wilson,2024-05-24,SAAS,New,1,,,1367,40,2025-03-29,,2024,2024-05,309,,False,False,False,False,True,Small (11-200)
Langosh-Oberbrunner,Spain,40.416775,-3.70379,Banking and Finance,Small (11-200),Sarah Davis,2024-03-05,Services,New,1,,,490,10,2024-07-08,,2024,2024-03,125,,False,False,False,False,False,Small (11-200)
Dickinson LLC,France,48.864716,2.349014,IT & IT Services,Small (11-200),Laura Thompson,2024-01-23,SAAS,New,1,,,1627,40,2024-03-11,,2024,2024-01,48,,False,False,False,False,True,Small (11-200)
"Heathcote, Barrows and Doyle",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,2024-01-31,Custom solution,New,1,,,716,50,2024-08-16,,2024,2024-01,198,,False,False,False,False,False,Small (11-200)
"Cummerata, Wyman and Conn",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,2024-02-14,Services,New,1,,,1139,30,2024-05-28,,2024,2024-02,104,,False,False,False,False,False,Small (11-200)
"O'Reilly, Torphy and Jakubowski",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,2024-04-16,Custom solution,New,1,,,427,40,2024-09-15,,2024,2024-04,152,,False,False,False,False,False,Small (11-200)
Boyer LLC,Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Michael Brown,2024-04-18,Services,New,1,,,857,50,2024-12-03,,2024,2024-04,229,,False,False,False,False,False,Small (11-200)
"Bradtke, Predovic and Monahan",Portugal,38.736946,-9.142685,Telecommunications,Small (11-200),Laura Thompson,2024-03-17,SAAS,New,1,,,1442,10,2025-02-10,,2024,2024-03,330,,False,False,False,False,True,Small (11-200)
Schuppe Inc,France,48.864716,2.349014,Banking and Finance,Small (11-200),David Wilson,2024-03-07,Services,New,1,,,839,60,2024-10-18,,2024,2024-03,225,,False,False,False,False,False,Small (11-200)
Hand-Heller,Germany,52.520008,13.404954,Retail & Distribution,Small (11-200),Jessica Martinez,2024-01-23,Custom solution,New,1,,,1660,80,2024-12-02,,2024,2024-01,314,,False,False,False,False,False,Small (11-200)
Prohaska-Jenkins,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),David Wilson,2024-05-01,SAAS,New,1,,,576,80,2025-02-25,,2024,2024-05,300,,False,False,False,False,True,Small (11-200)
"Johnston, Hettinger and Luettgen",Austria,48.210033,16.363449,Recreation & Sports,Small (11-200),Laura Thompson,2024-03-23,SAAS,New,1,,,1351,40,2024-06-12,,2024,2024-03,81,,False,False,False,False,True,Small (11-200)
"Rodriguez, Miller and Bradtke",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,2024-02-07,Custom solution,New,1,,,1579,70,2025-01-03,,2024,2024-02,331,,False,False,False,False,False,Small (11-200)
"Batz, Schamberger and Feeney",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Sarah Davis,2024-05-07,SAAS,New,1,,,731,20,2024-10-05,,2024,2024-05,151,,False,False,False,False,True,Small (11-200)
Ortiz-Christiansen,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),John Smith,2024-05-18,SAAS,New,1,,,931,30,2025-04-04,,2024,2024-05,321,,False,False,False,False,True,Small (11-200)
Toy-Friesen,Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,2024-01-23,SAAS,New,1,,,1237,30,2024-07-17,,2024,2024-01,176,,False,False,False,False,True,Small (11-200)
Sawayn and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),Kevin Anderson,2024-04-23,SAAS,New,1,,,1716,20,2024-11-17,,2024,2024-04,208,,False,False,False,False,True,Small (11-200)
Turcotte-Hand,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Jessica Martinez,2024-01-17,Services,New,1,,,1382,30,2024-11-26,,2024,2024-01,314,,False,False,False,False,False,Small (11-200)
Bayer Group,Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),Jessica Martinez,2024-05-09,Services,New,1,,,1194,100,2024-12-02,,2024,2024-05,207,,False,False,False,False,False,Small (11-200)
Leffler-Okuneva,Belgium,51.260197,4.402771,Banking and Finance,Small (11-200),Kevin Anderson,2024-01-10,Services,New,1,,,1073,20,2024-04-06,,2024,2024-01,87,,False,False,False,False,False,Small (11-200)
"Little, Deckow and Kunde",Spain,40.416775,-3.70379,Government Administration Healthcare,Small (11-200),Michael Brown,2024-05-11,Services,New,1,,,1102,20,2024-07-07,,2024,2024-05,57,,False,False,False,False,False,Small (11-200)
"Ortiz, Cartwright and Leffler",Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Jessica Martinez,2024-02-21,Services,New,1,,,1252,50,2024-11-08,,2024,2024-02,261,,False,False,False,False,False,Small (11-200)
Bernier and Sons,Belgium,51.260197,4.402771,Retail & Distribution,Small (11-200),Michael Brown,2024-01-30,SAAS,New,1,,,786,70,2024-11-27,,2024,2024-01,302,,False,False,False,False,True,Small (11-200)
Rempel-Towne,Belgium,51.260197,4.402771,Professional Services  & Consulting,Small (11-200),Sarah Davis,2024-03-20,Services,New,1,,,1292,80,2025-02-14,,2024,2024-03,331,,False,False,False,False,False,Small (11-200)
Sauer-Heaney,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,2024-01-09,Services,New,1,,,317,60,2024-07-13,,2024,2024-01,186,,False,False,False,False,False,Small (11-200)
Funk and Sons,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,2024-02-21,SAAS,New,1,,,958,30,2024-09-04,,2024,2024-02,196,,False,False,False,False,True,Small (11-200)
"Cruickshank, Cormier and Willms",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,2024-05-23,Services,New,1,,,1364,50,2024-09-06,,2024,2024-05,106,,False,False,False,False,False,Small (11-200)
"Roberts, Boehm and Swift",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,2024-04-03,Services,New,1,,,1348,20,2024-05-14,,2024,2024-04,41,,False,False,False,False,False,Small (11-200)
"Gerlach, Kiehn and Weber",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,2024-02-10,Custom solution,New,1,,,1811,10,2024-11-09,,2024,2024-02,273,,False,False,False,False,False,Small (11-200)
"Sawayn, Sanford and Skiles",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Sarah Davis,2024-02-19,SAAS,New,1,,,1607,10,2025-01-12,,2024,2024-02,328,,False,False,False,False,True,Small (11-200)
"Harris, Schmidt and Kautzer",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,2024-04-05,Services,New,1,,,1139,30,2024-07-25,,2024,2024-04,111,,False,False,False,False,False,Small (11-200)
Stamm-Rath,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Michael Brown,2024-01-26,Services,New,1,,,487,50,2024-09-13,,2024,2024-01,231,,False,False,False,False,False,Small (11-200)
"Hamill, Koepp and Quigley",Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Sarah Davis,2024-04-17,Services,New,1,,,495,60,2024-05-28,,2024,2024-04,41,,False,False,False,False,False,Small (11-200)
Hodkiewicz-Powlowski,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,2024-02-08,Services,New,1,,,344,40,2024-04-01,,2024,2024-02,53,,False,False,False,False,False,Small (11-200)
Moore Group,France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,2024-04-11,SAAS,New,1,,,443,30,2024-08-07,,2024,2024-04,118,,False,False,False,False,True,Small (11-200)
Schumm-Auer,Spain,40.416775,-3.70379,Education & Science,Small (11-200),Emily Johnson,2024-03-11,SAAS,New,1,,,718,40,2025-02-03,,2024,2024-03,329,,False,False,False,False,True,Small (11-200)
"Ward, Daugherty and Homenick",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Jessica Martinez,2024-05-30,Custom solution,New,1,,,1917,90,2024-10-25,,2024,2024-05,148,,False,False,False,False,False,Small (11-200)
"Pollich, Robel and Friesen",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Emily Johnson,2024-01-23,Custom solution,New,1,,,1729,50,2024-06-28,,2024,2024-01,157,,False,False,False,False,False,Small (11-200)
"Weimann, Pacocha and McCullough",Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Jessica Martinez,2024-05-04,Custom solution,New,1,,,1345,10,2024-08-15,,2024,2024-05,103,,False,False,False,False,False,Small (11-200)
"Champlin, Borer and Purdy",Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Michael Brown,2024-04-21,Services,New,1,,,1626,60,2025-04-19,,2024,2024-04,363,,False,False,False,False,False,Small (11-200)
"Erdman, Medhurst and Rowe",Italy,41.902782,12.496366,Telecommunications,Small (11-200),Michael Brown,2024-05-22,SAAS,New,1,,,1592,50,2024-07-23,,2024,2024-05,62,,False,False,False,False,True,Small (11-200)
Gutmann-Hoppe,Belgium,51.260197,4.402771,Energy & Utilities,Small (11-200),Jessica Martinez,2024-02-07,Custom solution,New,1,,,819,30,2024-02-28,,2024,2024-02,21,,False,False,False,False,False,Small (11-200)
Lakin-Bradtke,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,2024-02-28,SAAS,New,1,,,766,50,2025-02-15,,2024,2024-02,353,,False,False,False,False,True,Small (11-200)
"Ziemann, Bergstrom and Harber",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Jessica Martinez,2024-01-09,Services,New,1,,,834,40,2024-12-30,,2024,2024-01,356,,False,False,False,False,False,Small (11-200)
Mitchell-Hauck,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Sarah Davis,2024-03-29,SAAS,New,1,,,1662,30,2025-03-23,,2024,2024-03,359,,False,False,False,False,True,Small (11-200)
Labadie-Keeling,Germany,52.520008,13.404954,Recreation & Sports,Small (11-200),Michael Brown,2024-01-13,SAAS,New,1,,,1819,60,2024-08-28,,2024,2024-01,228,,False,False,False,False,True,Small (11-200)
Borer Group,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Jessica Martinez,2024-05-21,Services,New,1,,,1142,20,2024-06-26,,2024,2024-05,36,,False,False,False,False,False,Small (11-200)
"Goldner, Grant and Krajcik",Austria,48.210033,16.363449,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,2024-02-21,Custom solution,New,1,,,1340,30,2024-08-16,,2024,2024-02,177,,False,False,False,False,False,Small (11-200)
Schinner and Sons,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Emily Johnson,2024-01-23,Services,New,1,,,797,40,2024-06-12,,2024,2024-01,141,,False,False,False,False,False,Small (11-200)
Kihn Inc,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,2024-05-09,SAAS,New,1,,,644,40,2025-01-25,,2024,2024-05,261,,False,False,False,False,True,Small (11-200)
Abbott-Wisoky,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Sarah Davis,2024-05-19,Services,New,1,,,355,30,2025-02-26,,2024,2024-05,283,,False,False,False,False,False,Small (11-200)
"Strosin, Bahringer and Reilly",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),John Smith,2024-05-28,Custom solution,New,1,,,1741,50,2024-10-18,,2024,2024-05,143,,False,False,False,False,False,Small (11-200)
"McKenzie, Jerde and Altenwerth",Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,2024-01-31,SAAS,New,1,,,441,30,2024-10-17,,2024,2024-01,260,,False,False,False,False,True,Small (11-200)
"Runolfsdottir, Mills and Jacobi",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,2024-05-10,SAAS,New,1,,,1239,40,2025-03-02,,2024,2024-05,296,,False,False,False,False,True,Small (11-200)
